CT19-T2-001,CT19-T2-001-01,-1
CT19-T2-001,CT19-T2-001-02,0
CT19-T2-001,CT19-T2-001-03,-1
CT19-T2-001,CT19-T2-001-04,0
CT19-T2-001,CT19-T2-001-05,0
CT19-T2-001,CT19-T2-001-06,-1
CT19-T2-001,CT19-T2-001-07,-1
CT19-T2-001,CT19-T2-001-08,0
CT19-T2-001,CT19-T2-001-09,1
CT19-T2-001,CT19-T2-001-10,0
CT19-T2-001,CT19-T2-001-11,-1
CT19-T2-001,CT19-T2-001-12,-1
CT19-T2-001,CT19-T2-001-13,-1
CT19-T2-001,CT19-T2-001-14,-1
CT19-T2-001,CT19-T2-001-15,-1
CT19-T2-001,CT19-T2-001-16,-1
CT19-T2-001,CT19-T2-001-17,-1
CT19-T2-001,CT19-T2-001-18,-1
CT19-T2-001,CT19-T2-001-19,-1
CT19-T2-001,CT19-T2-001-20,-1
CT19-T2-001,CT19-T2-001-21,0
CT19-T2-001,CT19-T2-001-22,-1
CT19-T2-001,CT19-T2-001-23,-1
CT19-T2-001,CT19-T2-001-24,-1
CT19-T2-001,CT19-T2-001-25,-1
CT19-T2-001,CT19-T2-001-26,0
CT19-T2-001,CT19-T2-001-27,0
CT19-T2-001,CT19-T2-001-28,-1
CT19-T2-001,CT19-T2-001-29,-1
CT19-T2-001,CT19-T2-001-30,-1
CT19-T2-001,CT19-T2-001-31,-1
CT19-T2-001,CT19-T2-001-32,-1
CT19-T2-001,CT19-T2-001-33,-1
CT19-T2-001,CT19-T2-001-34,0
CT19-T2-001,CT19-T2-001-35,-1
CT19-T2-001,CT19-T2-001-36,-1
CT19-T2-001,CT19-T2-001-37,-1
CT19-T2-001,CT19-T2-001-38,-1
CT19-T2-001,CT19-T2-001-39,-1
CT19-T2-001,CT19-T2-001-40,-1
CT19-T2-001,CT19-T2-001-41,-1
CT19-T2-001,CT19-T2-001-42,0
CT19-T2-001,CT19-T2-001-43,-1
CT19-T2-001,CT19-T2-001-44,-1
CT19-T2-001,CT19-T2-001-45,1
CT19-T2-001,CT19-T2-001-46,-1
CT19-T2-001,CT19-T2-001-47,-1
CT19-T2-001,CT19-T2-001-48,-1
CT19-T2-001,CT19-T2-001-49,-1
CT19-T2-001,CT19-T2-001-50,-1
CT19-T2-002,CT19-T2-002-01,-1
CT19-T2-002,CT19-T2-002-02,1
CT19-T2-002,CT19-T2-002-03,1
CT19-T2-002,CT19-T2-002-04,1
CT19-T2-002,CT19-T2-002-05,1
CT19-T2-002,CT19-T2-002-06,1
CT19-T2-002,CT19-T2-002-07,1
CT19-T2-002,CT19-T2-002-08,-1
CT19-T2-002,CT19-T2-002-09,1
CT19-T2-002,CT19-T2-002-10,1
CT19-T2-002,CT19-T2-002-11,0
CT19-T2-002,CT19-T2-002-12,0
CT19-T2-002,CT19-T2-002-13,0
CT19-T2-002,CT19-T2-002-14,1
CT19-T2-002,CT19-T2-002-15,-1
CT19-T2-002,CT19-T2-002-16,1
CT19-T2-002,CT19-T2-002-17,1
CT19-T2-002,CT19-T2-002-18,0
CT19-T2-002,CT19-T2-002-19,1
CT19-T2-002,CT19-T2-002-20,1
CT19-T2-002,CT19-T2-002-21,0
CT19-T2-002,CT19-T2-002-22,-1
CT19-T2-002,CT19-T2-002-23,1
